age	value
0.0	728.0
0.1	702.0
0.2	679.0
0.3	701.0
0.4	697.0
0.5	733.0
0.6	736.0
0.7	724.0
0.8	712.0
0.9	700.0
1.0	717.0
1.1	696.0
1.2	715.0
1.3	716.0
1.4	729.0
1.5	723.0
1.6	716.0
1.7	722.0
1.8	718.0
1.9	714.0
2.0	708.0
2.1	704.0
2.2	702.0
2.3	708.0
2.4	701.0
2.5	691.0
2.6	707.0
2.7	739.0
2.8	725.0
2.9	745.0
3.0	738.0
3.1	720.0
3.2	710.0
3.3	725.0
3.4	702.0
3.5	710.0
3.6	727.0
3.7	726.0
3.8	711.0
3.9	721.0
4.0	719.0
4.1	701.0
4.2	718.0
4.3	716.0
4.4	707.0
4.5	694.0
4.6	700.0
4.7	730.0
4.8	713.0
4.9	706.0
5.0	717.0
5.1	690.0
5.2	709.0
5.3	702.0
5.4	697.0
5.5	694.0
5.6	687.0
5.7	705.0
5.8	682.0
5.9	708.0
6.0	711.0
6.1	688.0
6.2	690.0
6.3	681.0
6.4	678.0
6.5	684.0
6.6	675.0
6.7	699.0
6.8	659.0
6.9	684.0
7.0	682.0
7.1	703.0
7.2	676.0
7.3	670.0
7.4	655.0
7.5	676.0
7.6	687.0
7.7	658.0
7.8	675.0
7.9	670.0
8.0	645.0
8.1	644.0
8.2	628.0
8.3	648.0
8.4	647.0
8.5	644.0
8.6	646.0
8.7	633.0
8.8	663.0
8.9	639.0
9.0	662.0
9.1	672.0
9.2	667.0
9.3	649.0
9.4	653.0
9.5	642.0
9.6	645.0
9.7	640.0
9.8	649.0
9.9	659.0
10.0	649.0
10.1	639.0
10.2	650.0
10.3	654.0
10.4	646.0
10.5	668.0
10.6	621.0
10.7	640.0
10.8	637.0
10.9	650.0
11.0	639.0
11.1	635.0
11.2	645.0
11.3	634.0
11.4	597.0
11.5	585.0
11.6	579.0
11.7	570.0
11.8	552.0
11.9	544.0
12.0	545.0
12.1	508.0
12.2	489.0
12.3	508.0
12.4	502.0
12.5	512.0
12.6	525.0
12.7	536.0
12.8	544.0
12.9	553.0
13.0	570.0
13.1	579.0
13.2	564.0
13.3	559.0
13.4	556.0
13.5	553.0
13.6	555.0
13.7	551.0
13.8	538.0
13.9	506.0
14.0	466.0
14.1	482.0
14.2	566.0
14.3	686.0
14.4	702.0
14.5	601.0
14.6	496.0
14.7	447.0
14.8	402.0
14.9	403.0
15.0	405.0
15.1	396.0
15.2	400.0
15.3	388.0
15.4	375.0
15.5	378.0
15.6	375.0
15.7	365.0
15.8	360.0
15.9	357.0
16.0	343.0
16.1	346.0
16.2	346.0
16.3	325.0
16.4	328.0
16.5	322.0
16.6	324.0
16.7	318.0
16.8	313.0
16.9	310.0
17.0	312.0
17.1	312.0
17.2	317.0
17.3	327.0
17.4	337.0
17.5	341.0
17.6	333.0
17.7	339.0
17.8	342.0
17.9	347.0
18.0	362.0
18.1	371.0
18.2	368.0
18.3	367.0
18.4	371.0
18.5	373.0
18.6	391.0
18.7	390.0
18.8	393.0
18.9	390.0
19.0	396.0
19.1	413.0
19.2	409.0
19.3	399.0
19.4	416.0
19.5	412.0
19.6	408.0
19.7	413.0
19.8	415.0
19.9	402.0
20.0	423.0
20.1	419.0
20.2	408.0
20.3	406.0
20.4	409.0
20.5	403.0
20.6	414.0
20.7	403.0
20.8	411.0
20.9	405.0
21.0	406.0
21.1	408.0
21.2	405.0
21.3	413.0
21.4	413.0
21.5	405.0
21.6	408.0
21.7	409.0
21.8	409.0
21.9	411.0
22.0	413.0
