Bryophyte	Dwarf_shrub	Forb	Graminoids	Saliceae	Woody_taxa	Vascular_cryptogam	
30	10	33	10	1	4	11	
32	12	38	9	1	4	10	
20	12	39	11	1	4	7	
21	12	29	8	1	3	7	
28	10	34	6	1	3	10	
35	12	41	7	1	3	9	
25	12	36	9	1	3	9	
21	10	29	6	1	4	10	
27	11	35	6	1	5	8	
9	9	25	4	1	3	8	
26	11	33	5	1	4	9	
22	10	36	6	1	3	9	
18	9	28	5	1	3	10	
24	9	27	3	1	4	6	
24	8	32	7	1	4	10	
15	9	31	4	1	4	8	
12	9	27	5	1	4	10	
27	8	39	5	1	4	13	
15	8	31	5	1	5	12	
21	8	38	6	1	5	13	
5	8	26	2	1	3	11	
11	8	28	3	1	4	11	
13	9	30	2	1	5	10	
10	7	32	3	1	4	9	
6	7	25	2	1	4	10	
8	8	24	1	1	5	11	
9	6	22	0	1	4	7	
5	7	20	1	1	3	7	
9	6	25	1	1	2	9	
2	6	10	2	1	3	6	
3	4	16	0	1	3	6	
4	3	9	1	1	2	4	
3	4	7	0	1	1	7	
2	3	10	0	1	1	6	
6	2	6	1	1	0	6	
4	2	7	0	1	0	8	
6	0	4	0	1	0	3	
1	2	3	0	1	0	2	
